"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ENSG00000201415.1" 12.7733616543138 7.34351350864729 1.69266407635489 4.33843525790502 1.43500743637647e-05 0.000330693316744903
"ENSG00000255811.1" 29.611548884781 7.1931792243235 1.44484429237517 4.97851516754008 6.40739230550893e-07 1.88056964166687e-05
"ENSG00000259031.1" 22.9394296015565 6.83228123327435 1.4893039788846 4.58756662853429 4.48442329392724e-06 0.000112280607875913
"ENSG00000266160.2" 86.5865223685974 6.73511870086582 1.41554095632821 4.75798221927546 1.95537717794746e-06 5.29756801594689e-05
"ENSG00000274678.1" 201.420588935955 6.58996988590545 0.608623548384638 10.8276617022066 2.54573163695561e-27 1.73536777264987e-24
"ENSG00000280311.1" 163.526919646248 6.54217193404255 0.720562790198206 9.07925308250096 1.09322466913711e-19 2.15906763628088e-17
"ENSG00000260284.1" 186.224387895824 6.3274679047158 0.64631072447631 9.79013292691807 1.2413258625794e-22 3.5933833052093e-20
"ENSG00000267375.1" 41.4512514298649 6.21533902661312 1.03568455853001 6.00118923800004 1.9587753877679e-09 8.75112927998125e-08
"ENSG00000226416.2" 59.1184427194531 6.17635811950151 0.892897936155256 6.91720505716072 4.60641094601754e-12 2.88850670953242e-10
"ENSG00000237604.1" 95.9565288537641 6.13094790324045 0.810635303279746 7.56313952579572 3.93455161630453e-14 3.36619209537438e-12
