chr,start,end,length,abs_summit,pileup,-log10(pvalue),fold_enrichment,-log10(qvalue),name,mean
chr1,933079,933478,400,933264,17.17,16.1877,9.06826,13.3411,replikate2_peak_1,933278.5
chr1,976279,976567,289,976413,24.9,19.8041,9.39446,16.8767,replikate2_peak_2,976423
chr1,1064566,1064891,326,1064735,11.16,10.6306,7.04112,7.93432,replikate2_peak_3,1064728.5
chr1,1073492,1074169,678,1073866,251.58,104.27,5.74048,100.398,replikate2_peak_4,1073830.5
chr1,1079377,1080617,1241,1079623,86.72,57.188,9.74695,53.7503,replikate2_peak_5,1079997
chr1,1124804,1125198,395,1124992,24.04,14.4742,6.24175,11.6681,replikate2_peak_6,1125001
chr1,1136467,1136974,508,1136651,36.92,43.499,18.9229,40.2149,replikate2_peak_7,1136720.5
chr1,1156698,1157128,431,1156919,19.75,21.4521,12.012,18.4925,replikate2_peak_8,1156913
chr1,1236931,1237579,649,1237230,18.89,14.3266,7.93698,11.5241,replikate2_peak_9,1237255
chr1,1238113,1238570,458,1238352,15.46,15.5993,9.38705,12.7644,replikate2_peak_10,1238341.5
chr1,1300483,1300733,251,1300618,11.16,9.08008,6.08115,6.44397,replikate2_peak_11,1300608
chr1,1310674,1311049,376,1310869,14.6,14.2707,8.89724,11.4708,replikate2_peak_12,1310861.5
chr1,1380468,1380855,388,1380638,19.75,21.4521,12.012,18.4925,replikate2_peak_13,1380661.5
chr1,1433004,1433661,658,1433246,51.52,53.105,17.5061,49.7126,replikate2_peak_14,1433332.5
chr1,1618426,1618827,402,1618614,21.47,24.3947,13.0062,21.3842,replikate2_peak_15,1618626.5
chr1,1678518,1678909,392,1678662,12.02,10.1756,6.49748,7.50007,replikate2_peak_16,1678713.5
chr1,1680675,1681027,353,1680836,27.48,21.8477,9.46691,18.8822,replikate2_peak_17,1680851
chr1,1686302,1686561,260,1686510,18.89,9.25272,4.97252,6.60843,replikate2_peak_18,1686431.5
chr1,1758924,1759375,452,1759129,39.5,36.6514,13.4632,33.4568,replikate2_peak_19,1759149.5
chr1,1793423,1793878,456,1793668,18.03,17.4972,9.51571,14.616,replikate2_peak_20,1793650.5
chr1,1833850,1834187,338,1834075,10.3,9.41099,6.54403,6.75706,replikate2_peak_21,1834018.5
chr1,1853644,1853904,261,1853780,28.34,9.36461,3.66689,6.71377,replikate2_peak_22,1853774
chr1,1984581,1984888,308,1984676,10.3,9.41099,6.54403,6.75706,replikate2_peak_23,1984734.5
chr1,2001719,2002160,442,2001957,44.65,21.0171,5.70615,18.0659,replikate2_peak_24,2001939.5
chr1,2210893,2211168,276,2211057,11.16,10.6306,7.04112,7.93432,replikate2_peak_25,2211030.5
chr1,2404461,2404912,452,2404676,54.95,41.6954,11.1906,38.4347,replikate2_peak_26,2404686.5
chr1,2811124,2811374,251,2811264,10.3,7.99793,5.65184,5.40272,replikate2_peak_27,2811249
chr1,2866455,2866895,441,2866704,8.59,7.08752,5.54984,4.52825,replikate2_peak_28,2866675
chr1,3085541,3086395,855,3086046,102.18,133.85,34.3927,129.727,replikate2_peak_29,3085968
chr1,3116471,3116775,305,3116614,9.45,8.22881,6.04694,5.62202,replikate2_peak_30,3116623
chr1,3127118,3127550,433,3127338,141.68,107.742,12.9705,103.841,replikate2_peak_31,3127334
chr1,3132619,3133072,454,3132839,45.51,44.7429,15.5026,41.4449,replikate2_peak_32,3132845.5
chr1,3213475,3214101,627,3213822,164.86,295.882,82.7638,290.368,replikate2_peak_33,3213788
chr1,3261269,3261903,635,3261696,14.6,12.5229,7.79843,9.7663,replikate2_peak_34,3261586
chr1,3320433,3320835,403,3320643,17.17,18.5942,10.5208,15.6905,replikate2_peak_35,3320634
chr1,3337300,3337762,463,3337536,41.21,32.3801,10.5537,29.2435,replikate2_peak_36,3337531
chr1,3338203,3338732,530,3338442,145.11,143.048,20.8729,138.845,replikate2_peak_37,3338467.5
chr1,3366479,3366882,404,3366660,28.34,31.3661,14.6675,28.2447,replikate2_peak_38,3366680.5
chr1,3453406,3453766,361,3453582,22.32,16.3197,7.77487,13.4673,replikate2_peak_39,3453586
chr1,3455481,3455731,251,3455572,7.73,4.98931,4.36388,2.53985,replikate2_peak_40,3455606
chr1,3482248,3482663,416,3482446,30.91,25.3733,10.6087,22.3485,replikate2_peak_41,3482455.5
chr1,3553456,3553780,325,3553545,14.6,14.4863,9.02949,11.6786,replikate2_peak_42,3553618
chr1,3555225,3555653,429,3555448,24.9,23.2481,11.4858,20.2564,replikate2_peak_43,3555439
chr1,3587287,3587571,285,3587426,27.48,10.202,4.06807,7.52131,replikate2_peak_44,3587429
chr1,3668852,3669116,265,3668947,8.59,5.94877,4.7932,3.44704,replikate2_peak_45,3668984
chr1,3831628,3831926,299,3831795,17.17,16.2172,9.08639,13.3691,replikate2_peak_46,3831777
chr1,3832157,3832612,456,3832527,19.75,18.7993,10.3744,15.8902,replikate2_peak_47,3832384.5
chr1,4597048,4597481,434,4597251,18.03,12.1886,6.34381,9.44094,replikate2_peak_48,4597264.5
chr1,4675489,4675778,290,4675576,22.32,16.2832,7.7542,13.4331,replikate2_peak_49,4675633.5
chr1,5099616,5099866,251,5099721,10.3,9.25544,6.44819,6.61034,replikate2_peak_50,5099741
chr1,5312964,5313235,272,5313104,11.16,10.6306,7.04112,7.93432,replikate2_peak_51,5313099.5
chr1,5373304,5373651,348,5373519,16.31,17.1997,10.0237,14.33,replikate2_peak_52,5373477.5
chr1,5434188,5434438,251,5434338,10.3,9.41099,6.54403,6.75706,replikate2_peak_53,5434313
chr1,5648831,5649103,273,5648999,9.45,8.22881,6.04694,5.62202,replikate2_peak_54,5648967
chr1,5784805,5785270,466,5785039,18.89,17.4972,9.94503,14.616,replikate2_peak_55,5785037.5
chr1,5959610,5959928,319,5959839,25.76,15.4524,6.68979,12.6204,replikate2_peak_56,5959769
chr1,6059067,6059318,252,6059163,12.02,10.1756,6.49748,7.50007,replikate2_peak_57,6059192.5
